4024
bmk07.bin|0x0900|0x0100|0x76307f8d  /* sprite palette bank */
bmprom.04|0x0a00|0x0100|0x91a8a2e1  /* priority encoder / palette selector (not used */
bmprom.06|0x0b00|0x0100|0x0eaf5158  /* video timing (not used */
40love|40love.c
25
a30-19.ic1|0x00000|0x2000|0x7baca598
a30-20.ic2|0x02000|0x2000|0xa7b4f2cc
a30-21.ic3|0x04000|0x2000|0x49a372e8
a30-22.ic4|0x06000|0x2000|0x0c06d2b3
a30-23.ic5|0x10000|0x2000|0x6dcd186e  /* banked at 0xa000 */
a30-24.ic6|0x12000|0x2000|0x590c20c8  /* banked at 0xa000 */
a30-08.u08|0x0000|0x2000|0x2fc42ee1
a30-09.u09|0x2000|0x2000|0x3a75abce
a30-10.u10|0x4000|0x2000|0x393c4b5b
a30-11.u37|0x6000|0x2000|0x11b2c6d2
a30-12.u38|0x8000|0x2000|0xf7afd475
a30-13.u39|0xa000|0x2000|0xe806630f
a30-14|0x0000|0x0800|0xc4690279
a30-25.u22|0x0000|0x2000|0x15e594cf
415f.26|0x2000|0x2000|BADCRC( 0x3a45a205   /* this actually seems good, but we need to find another one to verify */
a30-27.u24|0x4000|0x2000|0x57c67f6f
a30-28.u25|0x6000|0x2000|0xd581d067
a30-29.u62|0x0000|0x2000|0x02deaf40
a30-30.u63|0x2000|0x2000|0x439f3731
a30-31.u64|0x4000|0x2000|0x7ed70e81
a30-32.u65|0x6000|0x2000|0x0434655b
a30-15.u03|0x0000|0x0400|0x55e38cc7  /* red */
a30-16.u01|0x0400|0x0400|0x13997e20  /* green */
a30-17.u02|0x0800|0x0400|0x5031f2f3  /* blue */
a30-18.u13|0x0c00|0x0400|0x78697c0f  /* ??? */
undoukai|40love.c
18
a17-01.70c|0x00000|0x4000|0x6ce324d9
a17-02.71c|0x04000|0x4000|0x055c7ef1
a17-03.72c|0x10000|0x4000|0x9034a5c5  /* banked at 0x8000 */
a17-08.8s|0x0000|0x2000|0x2545aa0e
a17-09.9s|0x2000|0x2000|0x57e2cdbb
a17-10.10s|0x4000|0x2000|0x38a288fe
a17-11.37s|0x6000|0x2000|0x036d6969
a17-12.38s|0x8000|0x2000|0xcb7e6dcd
a17-13.39s|0xa000|0x2000|0x0a40930e
a17-14.41c|0x0000|0x0800|0x00000000
a17-04.18v|0x0000|0x4000|0x84dabee2
a17-05.19v|0x4000|0x4000|0x10bf3451
a17-06.59v|0x0000|0x4000|0x50f28ad9
a17-07.60v|0x4000|0x4000|0x7a4b4238
a17-15.10v|0x0000|0x0400|0x9df472b7  /* red */
a17-16.8v|0x0400|0x0400|0x3bf1ff5f  /* green */
a17-17.9v|0x0800|0x0400|0xc42ae956  /* blue */
a17-18.23v|0x0c00|0x0400|0x3023a1da  /* ??? */
4enraya|4enraya.c
6
5.bin|0x0000|0x8000|0xcf1cd151
4.bin|0x8000|0x4000|0xf9ec1be7
1.bin|0x0000|0x2000|0x87f92552
2.bin|0x2000|0x2000|0x2b0a3793
3.bin|0x4000|0x2000|0xf6940836
1.bpr|0x0000|0x0020|0x0dcbd2352  /* not used */
invaders|8080bw.c
4
invaders.h|0x0000|0x0800|0x734f5ad8
invaders.g|0x0800|0x0800|0x6bfaca4a
invaders.f|0x1000|0x0800|0x0ccead96
invaders.e|0x1800|0x0800|0x14e538b0
earthinv|8080bw.c
4
earthinv.h|0x0000|0x0800|0x58a750c8
earthinv.g|0x0800|0x0800|0xb91742f1
earthinv.f|0x1000|0x0800|0x4acbbc60
earthinv.e|0x1800|0x0800|0xdf397b12
spaceatt|8080bw.c
6
h|0x0000|0x0400|0xd0c32d72
sv02.bin|0x0400|0x0400|0x0e159534
f|0x0800|0x0400|0x483e651e
c|0x1400|0x0400|0x1293b826
b|0x1800|0x0400|0x6fc782aa
a|0x1c00|0x0400|0x211ac4a3
spaceat2|8080bw.c
4
spaceatt.h|0x0000|0x0800|0xa31d0756
spaceatt.g|0x0800|0x0800|0xf41241f7
spaceatt.f|0x1000|0x0800|0x4c060223
spaceatt.e|0x1800|0x0800|0x7cf6f604
sinvzen|8080bw.c
8
1.bin|0x0000|0x0400|0x9b0da779
2.bin|0x0400|0x0400|0x9858ccab
3.bin|0x0800|0x0400|0xa1cc38b5
4.bin|0x0c00|0x0400|0x1f2db7a8
5.bin|0x1000|0x0400|0x9b505fcd
6.bin|0x1400|0x0400|0xde0ca0ae
7.bin|0x1800|0x0400|0x25a296f6
8.bin|0x1c00|0x0400|0xf4bc4a98
sinvemag|8080bw.c
6
sv0h.bin|0x0000|0x0400|0x86bb8cb6
emag_si.b|0x0400|0x0400|0xfebe6d1a
emag_si.c|0x0800|0x0400|0xaafb24f7
emag_si.d|0x1400|0x0400|0x68c4b9da
emag_si.e|0x1800|0x0400|0xc4e80586
emag_si.f|0x1c00|0x0400|0x077f5ef2
alieninv|8080bw.c
4
1h.bin|0x0000|0x0800|0xc46df7f4
1g.bin|0x0800|0x0800|0x4b1112d6
1f.bin|0x1000|0x0800|0Xadca18a5
1e.bin|0x1800|0x0800|0x0449CB52
sitv|8080bw.c
4
tv0h.s1|0x0000|0x0800|0xfef18aad
tv02.rp1|0x0800|0x0800|0x3c759a90
tv03.n1|0x1000|0x0800|0x0ad3657f
tv04.m1|0x1800|0x0800|0xcd2c67f6
sicv|8080bw.c
6
cv17.bin|0x0000|0x0800|0x3dfbe9e6
cv18.bin|0x0800|0x0800|0xbc3c82bf
cv19.bin|0x1000|0x0800|0xd202b41c
cv20.bin|0x1800|0x0800|0xc74ee7b6
cv01_1.bin|0x0000|0x0400|0xaac24f34
cv02_2.bin|0x0400|0x0400|0x2bdf83a0
sisv|8080bw.c
7
sv0h.bin|0x0000|0x0400|0x86bb8cb6
sv02.bin|0x0400|0x0400|0x0e159534
invaders.g|0x0800|0x0800|0x6bfaca4a
invaders.f|0x1000|0x0800|0x0ccead96
tv04.m1|0x1800|0x0800|0xcd2c67f6
cv01_1.bin|0x0000|0x0400|0xaac24f34
cv02_2.bin|0x0400|0x0400|0x2bdf83a0
sisv2|8080bw.c
8
sv0h.bin|0x0000|0x0400|0x86bb8cb6
emag_si.b|0x0400|0x0400|0xfebe6d1a
sv12|0x0800|0x0400|0xa08e7202
invaders.f|0x1000|0x0800|0x0ccead96
sv13|0x1800|0x0400|0xa9011634
sv14|0x1c00|0x0400|0x58730370
cv01_1.bin|0x0000|0x0400|0xaac24f34
cv02_2.bin|0x0400|0x0400|0x2bdf83a0
spceking|8080bw.c
4
